School_Alpha,School_Short,prev_school_short,tm,School_Name,school_code,Network_Short,Network_Name,Alt_Network_Short,Alt_Network_Name,Round,Repeat,New,Size,Short
CECHS-hs,CECHS10S,,0,Caldwell Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,298,CECHS
CECHS-hs,CECHS11F,CECHS11S,0,Caldwell Early College High School,CALDW,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,382,CECHS
CECHS-hs,CECHS11S,CECHS10S,0,Caldwell Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,374,CECHS
Central Falls-hs,Central Falls12F,,1,Central Falls High School,CFALLS,Central Falls12F,Central Falls School District,,,12F,FALSE,1,835,Central Falls
CFA-hs,CFA12S,,0,Castlemont Freshman Academy,CFA,OUSD12S,Oakland Unified School District,,,12S,FALSE,1,162,CFA
CGHS-hs,CGHS10F,,0,Coral Gables Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,3166,CGHS
CGHS-hs,CGHS11F,CGHS10F,0,Coral Gables Senior High School,COGABL,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,3285,CGHS
CGHS-hs,CGHS12F,CGHS11F,0,Coral Gables Senior High School,CGHS,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,3367,CGHS
Chief Sealth-hs,Chief Sealth08S,,0,Chief Sealth High School,,,,,,08S,FALSE,1,880,Chief Sealth
CHSSCS-hs,CHSSCS10S,,0,Cape Hatteras Secondary School Of Coastal Studies,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,184,CHSSCS
Citronelle-hs,Citronelle12F,,0,Citronelle High School,CITRON,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,824,Citronelle
Columbia ECHS-hs,Columbia ECHS11S,,0,Columbia Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,FALSE,1,75,Columbia ECHS
Coretta Scott King-hs,Coretta Scott King12S,,1,Coretta Scott King Young Womens Leadership Academy,CORSC,APS12S,Atlanta Public Schools,,,12S,TRUE,0,211,Coretta Scott King
Coretta Scott King-hs,Coretta Scott King13X,Coretta Scott King12S,0,Coretta Scott King Young Women's Leadership Academy,KING,,Atlanta Public Schools,,,13X,TRUE,1,205,Coretta Scott King
Coronado-hs,Coronado13S,,1,Coronado High School,COR,West Covina13S,West Covina Unified School District,,,13S,FALSE,1,182,Coronado
CPAA-hs,CPAA12S,,0,College Prep and Architecture Academy,CPAA,OUSD12S,Oakland Unified School District,,,12S,FALSE,1,339,CPAA
CRCS-hs,CRCS11S,,0,Castle Rock Charter School,,Del Norte11S,Del Norte County Unified School District,,,11S,FALSE,1,233,CRCS
Crestview-hs,Crestview09F,,0,Crestview College Preparatory High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,TRUE,0,285,Crestview
Crestview-hs,Crestview10F,Crestview09F,0,Crestview College Preparatory High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,TRUE,1,228,Crestview
Cross County-hs,Cross County12F,,0,Cross County High School,CC,NewTech12F,New Tech Network,,,12F,FALSE,1,195,Cross County
CSA-hs,CSA10F,,0,Columbus Signature Academy - New Tech,,NewTech10F,New Tech Network,,,10F,TRUE,0,280,CSA
CSA-hs,CSA11F,CSA10F,0,Columbus Signature Academy - New Tech,COLSA,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,350,CSA
CSA-hs,CSA12F,CSA11F,0,Columbus Signature Academy - New Tech,CSA,NewTech12F,New Tech Network,,,12F,TRUE,1,354,CSA
Cyber-hs,Cyber09F,,0,Cyber High School,,Phoenix Union09F,Phoenix Union High School District,,,09F,FALSE,1,68,Cyber
Davidson-hs,Davidson12F,,0,Davidson High School,DAVID,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,1540,Davidson
DECHS-hs,DECHS10S,,0,Duplin Early College High School,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,TRUE,0,139,DECHS
DECHS-hs,DECHS11F,DECHS11S,0,Duplin Early College High School,MIASH3,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,157,DECHS
DECHS-hs,DECHS11S,DECHS10S,0,Duplin Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,155,DECHS
DECHS-hs,DECHS13X,DECHS11F,0,Duplin Early College High School,DEC,,RTI International,,,13X,TRUE,1,151,DECHS
Delta-hs,Delta11S,,0,Delta High School,,EdWorks11S,EdWorks,,,11S,FALSE,1,168,Delta
Desert Hills-hs,Desert Hills09F,,0,Desert Hills High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,TRUE,0,565,Desert Hills
Desert Hills-hs,Desert Hills10F,Desert Hills09F,0,Desert Hills High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,TRUE,1,518,Desert Hills
Desiderata-hs,Desiderata09F,,0,Desiderata Alternative Program,,Phoenix Union09F,Phoenix Union High School District,,,09F,TRUE,0,114,Desiderata
Desiderata-hs,Desiderata10F,Desiderata09F,0,Desiderata Alternative Program,,Phoenix Union10F,Phoenix Union High School District,,,10F,TRUE,1,108,Desiderata
Design Lab-hs,Design Lab10F,Design Lab10S,0,Design Lab Early College High School,,OSLN10F,Ohio STEM Learning Network,,,10F,TRUE,1,243,Design Lab
Design Lab-hs,Design Lab10S,,0,Design Lab Early College High School,,STEM10S,STEM,,,10S,TRUE,0,163,Design Lab
Dewey-hs,Dewey11S,,0,Dewey Academy,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,248,Dewey
Dewey-hs,Dewey12S,Dewey11S,0,Dewey Academy,DEW,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,238,Dewey
DHHS-hs,DHHS11S,,0,Dixie Heights High School,,Kenton11S,Kenton County School District,,,11S,TRUE,0,1424,DHHS
DHHS-hs,DHHS13S,DHHS11S,0,Dixie Heights High School,DIXIE,Kenton13S,Kenton County School District,,,13S,TRUE,1,1412,DHHS
DNHS-hs,DNHS11S,,0,Del Norte County High School,,Del Norte11S,Del Norte County Unified School District,,,11S,FALSE,1,1066,DNHS
DNTHS-hs,DNTHS10F,,0,Danville New Tech High School,,NewTech10F,New Tech Network,,,10F,FALSE,1,312,DNTHS
DRSS-hs,DRSS10F,,0,Dayton Regional STEM School,,OSLN10F,Ohio STEM Learning Network,,,10F,TRUE,0,141,DRSS
DRSS-hs,DRSS12S,DRSS10F,1,Dayton Regional STEM School,DAYREG,OSLN12S,Ohio STEM Learning Network,,,12S,TRUE,1,192,DRSS
DSST-hs,DSST10S,,0,Denver School of Science & Technology,,D-STEM10S,STEM,,,10S,FALSE,1,450,DSST
DVCA-hs,DVCA10F,,0,Da Vinci Charter Academy,,NewTech10F,New Tech Network,,,10F,FALSE,1,430,DVCA
Eastern Wayne-hs,Eastern Wayne13X,,0,Eastern Wayne High School,EWHS,,RTI International,,,13X,FALSE,1,465,Eastern Wayne
ECEHS-hs,ECEHS13X,,0,Early College EAST High School,ECE,,RTI International,,,13X,FALSE,1,143,ECEHS
ECF-hs,ECF10S,,0,Early College at Forsyth,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,123,ECF
ECF-hs,ECF11F,ECF10S,0,Early College at Forsyth,ECFORS,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,238,ECF
Edgewood High-hs,Edgewood High13S,,1,Edgewood High School,EDGHS,West Covina13S,West Covina Unified School District,,,13S,FALSE,1,575,Edgewood High
EDHS-hs,EDHS10F,,0,El Dorado High School,,Leona-AZ10F,The Leona Group - AZ,,,10F,FALSE,1,203,EDHS
Eisenhower HS-hs,Eisenhower HS12S,,0,Eisenhower High School ,EISEN,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,2305,Eisenhower HS
Eisenhower Ninth-hs,Eisenhower Ninth12S,,0,Eisenhower Ninth Grade School ,EISENN,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,989,Eisenhower Ninth
EOSA-hs,EOSA11S,,0,Castlemont Community of Small Schools,,OUSD11S,Oakland Unified School District,,,11S,TRUE,0,212,EOSA
EOSA-hs,EOSA12S,EOSA11S,0,East Oakland School of the Arts,EOSA,OUSD12S,Oakland Unified School District,,,12S,TRUE,1,180,EOSA
EPAPA-hs,EPAPA10F,,0,East Palo Alto Phoenix Academy,,Aspire10F,Aspire Public Schools,,,10F,FALSE,1,162,EPAPA
Estrella-hs,Estrella09F,,0,Estrella High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,493,Estrella
Evergreen AAA-hs,Evergreen AAA11F,,0,Arts and Academics Academy,EVAAA,Highline11F,Highline Public Schools,,Highline Public Schools,11F,FALSE,1,290,Evergreen AAA
Evergreen HSHS-hs,Evergreen HSHS11F,,0,Health Sciences & Human Services High School,EVHS,Highline11F,Highline Public Schools,,Highline Public Schools,11F,FALSE,1,374,Evergreen HSHS
Evergreen TEC-hs,Evergreen TEC11F,,0,"Technology, Engineering, & Communication High School",EVTEC,Highline11F,Highline Public Schools,,Highline Public Schools,11F,FALSE,1,316,Evergreen TEC
EWSIT-hs,EWSIT10S,,0,East Wake School of Integrated Technology,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,320,EWSIT
FAET-hs,FAET11S,,0,Friendship Academy of Engineering and Technology,,Friendship11S,Friendship Public Charter School,,,11S,FALSE,1,283,FAET
Farwest-hs,Farwest11S,,0,Far West High School,,OUSD11S,Oakland Unified School District,,,11S,FALSE,1,149,Farwest
FAST-hs,FAST11S,,0,Friendship Academy of Science and Technology,,Friendship11S,Friendship Public Charter School,,,11S,FALSE,1,212,FAST
FCA-hs,FCA11S,,0,Friendship Collegiate Academy,,Friendship11S,Friendship Public Charter School,,,11S,FALSE,1,1170,FCA
FDHS-hs,FDHS10S,,0,Frederick Douglass High School,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,1330,FDHS
FDHS-hs,FDHS11S,FDHS10S,0,Frederick Douglass High School,,APS11S,Atlanta Public Schools,,,11S,TRUE,1,1118,FDHS
Franklin-hs,Franklin09F,,0,Franklin Police & Fire High School,,Phoenix Union09F,Phoenix Union High School District,,,09F,TRUE,0,208,Franklin
Franklin-hs,Franklin10F,Franklin09F,0,Franklin Police & Fire High School,,Phoenix Union10F,Phoenix Union High School District,,,10F,TRUE,1,275,Franklin
GEC-hs,GEC10S,,0,Greene County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,109,GEC
Greenville Weston-hs,Greenville Weston11F,,0,Greenville-Weston High School,GWEST,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Greenville Public School District,11F,FALSE,1,1199,Greenville Weston
Greenwood-hs,Greenwood11F,,0,Greenwood High School,GREEN,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Greenwood Public School District,11F,FALSE,1,704,Greenwood
Hazen-hs,Hazen11F,,0,Oliver M. Hazen High School,HAZEN,Renton11F,Renton School District,,Renton School District,11F,FALSE,1,1474,Hazen
MECHS-hs,HCECHS10S,,0,Hyde Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,27,HCECHS
HEC-hs,HEC10S,,0,Haywood Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,150,HEC
HEC-hs,HEC11F,HEC10S,0,Haywood Early College High School,HAYWOO,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,143,HEC
HHLSHS-hs,HHLSHS10S,,0,Howard Health and Life Sciences High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,211,HHLSHS
HHLSHS-hs,HHLSHS13X,HHLSHS10S,0,Howard Health and Life Sciences High School,HHLS,,RTI International,,,13X,TRUE,1,170,HHLSHS
HHS-hs,HHS10F,,0,Hialeah Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,2973,HHS
HHS-hs,HHS11F,HHS10F,0,Hialeah Senior High School,HIALSR,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,1,2939,HHS
HML-hs,HML10F,,0,Hialeah Miami Lakes Senior High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,1852,HML
HML-hs,HML11F,HML10F,0,Hialeah Miami Lakes Senior High School,HIALMIA,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,1,1697,HML
Holland-hs,Holland11F,,0,Holland New Tech High School,HOLL,NewTech11F,New Tech Network,,New Tech Network,11F,FALSE,1,76,Holland
HTH-hs,HTH12F,HTH12S,1,The Gary and Jerri-Ann Jacobs High Tech High,HTH,HTH12F,High Tech High,,,12F,TRUE,1,576,HTH
HTH-hs,HTH12S,,0,The Gary and Jerri-Ann Jacobs High Tech High,GJATECH,HTH12S,High Tech High,,,12S,TRUE,0,572,HTH
HTHCV-hs,HTHCV11S,,0,High Tech High Chula Vista,,HTH11S,High Tech High,,,11S,TRUE,0,604,HTHCV
HTHCV-hs,HTHCV12F,HTHCV12S,1,High Tech High Chula Vista,HTHCV,HTH12F,High Tech High,,,12F,TRUE,1,627,HTHCV
HTHCV-hs,HTHCV12S,HTHCV11S,0,High Tech High Chula Vista,HTCHULA,HTH12S,High Tech High,,,12S,TRUE,0,599,HTHCV
HTHI-hs,HTHI11S,,0,High Tech High International,,HTH11S,High Tech High,,,11S,TRUE,0,393,HTHI
HTHI-hs,HTHI12F,HTHI12S,1,High Tech High International,HTHI,HTH12F,High Tech High,,,12F,TRUE,1,409,HTHI
HTHI-hs,HTHI12S,HTHI11S,0,High Tech High International,HTINT,HTH12S,High Tech High,,,12S,TRUE,0,398,HTHI
HTHMA-hs,HTHMA11S,,0,High Tech High Media Arts,,HTH11S,High Tech High,,,11S,TRUE,0,404,HTHMA
HTHMA-hs,HTHMA12F,HTHMA12S,1,High Tech High Media Arts,HTHMA,HTH12F,High Tech High,,,12F,TRUE,1,412,HTHMA
HTHMA-hs,HTHMA12S,HTHMA11S,0,High Tech High Media Arts,HTMEDIA,HTH12S,High Tech High,,,12S,TRUE,0,403,HTHMA
HTHNC-hs,HTHNC11S,,0,High Tech High North County,,HTH11S,High Tech High,,,11S,TRUE,0,501,HTHNC
HTHNC-hs,HTHNC12F,HTHNC12S,1,High Tech High North County,HTHNC,HTH12F,High Tech High,,,12F,TRUE,1,540,HTHNC
HTHNC-hs,HTHNC12S,HTHNC11S,0,High Tech High North County,HTNC,HTH12S,High Tech High,,,12S,TRUE,0,535,HTHNC
Hudson-hs,Hudson12X,,0,Hudson High School of Learning Technologies,Hudson,LLN12X,Learning Lab Network,,,12X,TRUE,0,107,Hudson
Hudson-hs,Hudson13X,Hudson12X,0,Hudson High School of Learning Technologies,HUDSON,,Learning Lab Network (LLN),,,13X,TRUE,1,349,Hudson
Hughes STEM-hs,Hughes STEM12X,,0,"Hughes Science, Technology, Engineering, and Mathematics High School",HuSTEM,LLN12X,Learning Lab Network,,,12X,TRUE,0,37,Hughes STEM
Hughes STEM-hs,Hughes STEM13X,Hughes STEM12X,0,Hughes STEM High School,HUGHES,,Learning Lab Network (LLN),,,13X,TRUE,1,744,Hughes STEM
Humphrey-hs,Humphrey11F,,0,Humphreys County High School,HUMP,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Humphrey County School District,11F,FALSE,1,468,Humphrey
Jacket Academy-hs,Jacket Academy10S,,0,Jacket Integrated Academy,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,TRUE,0,166,Jacket Academy
Jacket Academy-hs,Jacket Academy11S,Jacket Academy10S,0,Jacket Integrated Academy,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,1,145,Jacket Academy
JCECA-hs,JCECA10S,,0,Johnston County Early College Academy High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,99,JCECA
JCECA-hs,JCECA11F,JCECA10S,0,Johnston County Early College Academy High School,JOHNC,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,187,JCECA
JECHS-hs,JECHS10S,,0,Jackson Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,100,JECHS
JECHS-hs,JECHS11F,JECHS10S,0,Jackson Early College High School,JACKS,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,136,JECHS
Jet Tech-hs,Jet Tech11F,,0,Adams Central High School,ADACJT,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,215,Jet Tech
Jet Tech-hs,Jet Tech12F,Jet Tech11F,0,Adams Central Jet Tech,JET,NewTech12F,New Tech Network,,,12F,TRUE,1,401,Jet Tech
JFK High-hs,JFK High12F,,1,John F Kennedy High School,JFK,Sacramento12F,Sacramento City Unifed School District,,,12F,FALSE,1,2047,JFK High
Jonesboro-hs,Jonesboro11F,,0,Jonesboro High School,JONES,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Jonesboro Public Schools,11F,FALSE,1,1067,Jonesboro
JPKECHS-hs,JPKECHS10S,,0,J.P. Knapp Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,137,JPKECHS
Juarez-Lincoln-hs,Juarez-Lincoln12S,,0,Juarez-Lincoln High School & ACE,JLINC,La Joya12S,La Joya Independent School District,,,12S,TRUE,0,2121,Juarez-Lincoln
Juarez-Lincoln-hs,Juarez-Lincoln13S,Juarez-Lincoln12S,0,Juarez-Lincoln High School,LINCOLN,La Joya13S,La Joya Independent School District,,,13S,TRUE,1,2146,Juarez-Lincoln
KCSA-hs,KCSA11S,,0,Kenton County Success Academy,,Kenton11S,Kenton County School District,,,11S,TRUE,0,73,KCSA
KCSA-hs,KCSA13S,KCSA11S,0,Kenton County Success Academy,KCSA,Kenton13S,Kenton County School District,,,13S,TRUE,1,84,KCSA
